trans_id,trans_date,description,customer_id,name,amount,upper_limit,is_anomaly
37,2024-02-19,还款,2,客户2,43226.18,21856.792890761695,True
71,2023-04-26,消费,3,客户3,37896.81,33662.063273123174,True
82,2023-11-23,还款,3,客户3,44988.07,33662.063273123174,True
124,2023-01-01,转账,5,客户5,27289.63,19205.65231287841,True
153,2024-07-11,转账,5,客户5,23058.45,19205.65231287841,True
224,2024-02-01,理财申购,8,客户8,35898.99,16751.563485405684,True
246,2023-01-01,理财申购,9,客户9,35678.86,20589.22889266084,True
284,2023-08-01,理财申购,10,客户10,15406.65,14264.563088879037,True
302,2023-01-01,还款,10,客户10,19648.06,14264.563088879037,True
361,2024-04-19,取现,12,客户12,22884.32,11564.95354560207,True
383,2023-04-19,取现,13,客户13,34787.98,16929.08303852509,True
446,2024-01-01,转账,14,客户14,39596.16,26204.544914611855,True
460,2023-03-16,理财申购,15,客户15,37778.02,29562.729012797747,True
473,2023-09-26,理财申购,15,客户15,43332.68,29562.729012797747,True
511,2023-04-08,取现,15,客户15,30218.2,29562.729012797747,True
513,2023-05-10,还款,15,客户15,40248.54,29562.729012797747,True
532,2024-03-14,理财申购,15,客户15,39834.4,29562.729012797747,True
587,2024-08-07,还款,16,客户16,44358.27,33346.81476510701,True
608,2024-03-22,消费,17,客户17,45942.42,34166.01499405269,True
637,2024-04-09,还款,18,客户18,10361.54,5909.179223931457,True
664,2024-02-13,还款,19,客户19,26662.63,19401.232794461466,True
688,2023-10-20,取现,20,客户20,41286.85,23808.0015085747,True
708,2023-01-27,转账,21,客户21,28004.66,22830.908276441776,True
777,2024-12-31,消费,21,客户21,47804.57,22830.908276441776,True
834,2023-12-12,还款,23,客户23,47536.55,37908.690622996175,True
849,2024-09-25,取现,23,客户23,41164.1,37908.690622996175,True
882,2023-07-02,还款,24,客户24,30910.41,20507.74228614456,True
911,2024-12-12,理财申购,24,客户24,32046.4,20507.74228614456,True
923,2023-06-19,取现,25,客户25,35483.79,33279.39385216338,True
928,2023-09-12,消费,25,客户25,38642.0,33279.39385216338,True
951,2024-10-07,理财申购,25,客户25,36348.71,33279.39385216338,True
982,2024-02-26,还款,26,客户26,47726.99,29503.282981160533,True
1024,2024-08-31,还款,27,客户27,49590.26,34647.9509196482,True
1042,2024-10-31,转账,28,客户28,39366.05,33767.737477977935,True
1044,2023-01-01,消费,28,客户28,34909.29,33767.737477977935,True
1075,2023-07-28,理财申购,29,客户29,21381.66,11547.894826783904,True
1126,2023-06-22,理财申购,30,客户30,19895.99,9925.370734934493,True
1136,2024-01-01,还款,30,客户30,11032.38,9925.370734934493,True
1173,2023-10-30,消费,31,客户31,29849.57,14832.873893408627,True
1204,2023-05-22,消费,32,客户32,30936.29,17608.199875827053,True
1245,2024-04-21,转账,33,客户33,46600.06,32223.546576989887,True
1256,2023-02-02,理财申购,34,客户34,31398.67,24664.95948718611,True
1259,2023-03-23,取现,34,客户34,26139.24,24664.95948718611,True
1272,2023-10-20,理财申购,34,客户34,42119.25,24664.95948718611,True
1372,2023-11-19,还款,36,客户36,48547.41,32804.44737896879,True
1399,2024-04-09,理财申购,37,客户37,23557.79,22395.265822918136,True
1420,2023-03-17,消费,39,客户39,41340.06,21994.192656883646,True
1450,2023-03-10,理财申购,39,客户39,35931.9,21994.192656883646,True
1497,2024-05-11,还款,40,客户40,35558.52,22461.263264535835,True
1510,2023-03-11,取现,41,客户41,37867.56,33404.21254587084,True
1523,2023-10-23,理财申购,41,客户41,33907.29,33404.21254587084,True
1529,2024-02-04,转账,41,客户41,38829.0,33404.21254587084,True
1550,2023-01-23,理财申购,42,客户42,46845.76,34790.04231000847,True
1623,2024-10-12,消费,43,客户43,44206.61,23978.936174697774,True
1628,2024-12-31,取现,43,客户43,26275.94,23978.936174697774,True
1659,2024-12-31,理财申购,44,客户44,48523.77,33753.79418782509,True
1677,2024-12-31,转账,45,客户45,22925.81,11286.755617244356,True
1711,2024-06-14,取现,46,客户46,24403.99,23198.57778065675,True
1716,2023-01-29,取现,47,客户47,45760.29,35498.52919161911,True
1807,2023-01-26,转账,50,客户50,17793.62,12345.739503124843,True
1840,2023-04-27,取现,50,客户50,17642.49,12345.739503124843,True
1849,2024-01-15,消费,50,客户50,14073.89,12345.739503124843,True
1886,2024-08-07,还款,51,客户51,33002.82,20480.044390488816,True
1937,2023-06-20,理财申购,53,客户53,47466.45,26024.765889905822,True
1943,2023-11-13,取现,53,客户53,35734.79,26024.765889905822,True
1961,2023-01-01,取现,54,客户54,42775.93,26876.69113546753,True
1971,2023-10-20,还款,54,客户54,42193.31,26876.69113546753,True
1997,2023-06-28,取现,54,客户54,29902.64,26876.69113546753,True
2134,2024-07-01,转账,58,客户58,14514.33,7428.253543451756,True
2166,2023-11-09,理财申购,59,客户59,35541.75,16082.004043779954,True
2220,2024-01-08,取现,60,客户60,23641.91,20240.87605245428,True
2224,2024-03-08,取现,60,客户60,33257.0,20240.87605245428,True
2283,2024-09-08,还款,61,客户61,20820.87,9947.538790647814,True
2310,2024-05-10,消费,62,客户62,19523.41,17079.554187701888,True
2338,2024-02-15,还款,62,客户62,32045.65,17079.554187701888,True
2348,2024-09-30,转账,62,客户62,18952.72,17079.554187701888,True
2399,2024-02-19,理财申购,64,客户64,28714.38,19653.0959500415,True
2428,2023-07-10,取现,65,客户65,35628.41,21346.428101299567,True
2444,2024-03-20,理财申购,65,客户65,47370.13,21346.428101299567,True
2515,2023-04-15,转账,66,客户66,41628.12,32592.8060255422,True
2554,2024-06-24,消费,66,客户66,34811.55,32592.8060255422,True
2565,2023-02-22,理财申购,67,客户67,37592.84,24177.323116013093,True
2580,2023-11-09,取现,67,客户67,24542.33,24177.323116013093,True
2584,2024-01-18,消费,67,客户67,34608.6,24177.323116013093,True
2692,2024-11-24,理财申购,69,客户69,35341.41,29832.129744363818,True
2696,2023-02-11,还款,70,客户70,21857.63,11805.899673362159,True
2733,2023-02-15,取现,71,客户71,45164.41,25828.207504778704,True
2750,2023-11-01,转账,71,客户71,34052.67,25828.207504778704,True
2787,2023-05-27,理财申购,72,客户72,27568.42,21194.19100051005,True
2797,2023-11-25,还款,72,客户72,40899.91,21194.19100051005,True
2859,2023-09-17,理财申购,73,客户73,13152.72,6415.912063241525,True
2921,2024-05-01,消费,74,客户74,42632.83,31513.138556458303,True
2927,2024-07-31,理财申购,74,客户74,35754.72,31513.138556458303,True
2930,2024-09-15,还款,74,客户74,34983.89,31513.138556458303,True
2932,2024-10-15,消费,74,客户74,39443.29,31513.138556458303,True
2959,2023-04-27,转账,75,客户75,35000.78,25498.82328570691,True
3003,2024-02-03,转账,77,客户77,24598.29,14535.02475594199,True
3039,2023-12-03,理财申购,78,客户78,29683.27,18432.478758309888,True
3074,2023-12-14,取现,79,客户79,34007.28,23117.015319694237,True
3078,2024-02-22,取现,79,客户79,30808.51,23117.015319694237,True
3111,2024-08-24,消费,80,客户80,38204.53,29252.157086616295,True
3177,2023-10-15,还款,82,客户82,45549.86,28634.291981800307,True
3182,2024-02-03,还款,82,客户82,38645.11,28634.291981800307,True
3227,2023-03-06,消费,84,客户84,40006.01,29715.052030260755,True
3259,2024-08-07,理财申购,84,客户84,45815.85,29715.052030260755,True
3276,2024-01-29,还款,84,客户84,31912.46,29715.052030260755,True
3302,2023-11-09,消费,86,客户86,29940.58,25266.928167756003,True
3325,2023-03-08,消费,87,客户87,30080.5,29851.910633033953,True
3339,2023-02-20,取现,88,客户88,34508.88,27652.306378512665,True
3342,2023-04-12,消费,88,客户88,28322.68,27652.306378512665,True
3372,2024-09-03,转账,88,客户88,42701.3,27652.306378512665,True
3391,2023-03-08,理财申购,89,客户89,25980.26,22875.254659113023,True
3411,2023-10-13,取现,89,客户89,33929.51,22875.254659113023,True
3498,2024-11-16,取现,91,客户91,49679.88,28841.651965349858,True
3516,2023-03-05,还款,93,客户93,42364.13,27892.420301803864,True
3567,2024-05-07,取现,94,客户94,25069.55,16058.154135406494,True
3570,2024-06-27,理财申购,94,客户94,21698.96,16058.154135406494,True
3585,2023-06-06,消费,95,客户95,33449.55,21603.03586751463,True
3615,2023-07-21,转账,96,客户96,49519.31,28980.709191084163,True
3659,2023-12-01,消费,97,客户97,48802.29,30210.173897422133,True
3681,2024-10-31,消费,97,客户97,39922.16,30210.173897422133,True
3705,2023-10-11,取现,97,客户97,42674.42,30210.173897422133,True
3735,2024-12-31,理财申购,97,客户97,39342.33,30210.173897422133,True
3769,2024-05-12,理财申购,99,客户99,31569.22,23318.499029746934,True
3814,2024-09-20,取现,99,客户99,49360.73,23318.499029746934,True
